seq,name/first,name/last,age,street,city,state,zip,dollar,pick,date
1,Minnie,Gomez,50,Sugu River,Kuajdiz,IN,27841,$8059.09,YELLOW,05/27/2030
2,Elsie,Boyd,31,Wableb Path,Hepewzi,MN,69761,$9315.54,YELLOW,10/22/2015
3,Isaac,Powell,18,Taafe Highway,Cehpadnof,VA,53230,$7297.33,BLUE,01/20/1979
4,Jeremiah,Ramos,18,Jori Way,Embetez,NH,78853,$5041.74,YELLOW,06/25/2004
5,Oscar,Bryant,21,Rorud Manor,Fejvaci,WV,74316,$2417.16,YELLOW,06/29/2050
6,Millie,Neal,41,Kusa Boulevard,Antefer,NC,40237,$1343.14,WHITE,12/15/2034
7,Alta,Dixon,25,Fiti Grove,Dusotu,FL,01579,$7317.83,RED,06/14/2045
8,Isaac,Dawson,27,Efesu Junction,Vaunviw,FL,83251,$4157.19,WHITE,07/08/2026
9,Frederick,Ramos,29,Rehu Point,Teevel,SD,12435,$6446.88,RED,06/02/1987
10,Ernest,Rhodes,60,Bebzep Turnpike,Georvi,DC,25848,$5543.95,BLUE,12/15/1939
11,Maria,Green,54,Lojif Ridge,Pihulouhe,VA,85434,$5151.98,BLUE,05/14/1960
12,Isabella,Jacobs,59,Lozig Circle,Siuwkuc,MD,40506,$5548.27,GREEN,04/24/1940
13,Nathan,Quinn,18,Hepos Loop,Gikcunis,SD,97709,$2141.90,BLUE,07/09/1934
14,Mabelle,Hoffman,31,Hudip Loop,Ivpakig,MD,96325,$363.57,WHITE,01/17/1930
15,Carlos,Atkins,48,Idunel Center,Afawupo,CT,91472,$2601.64,YELLOW,06/24/1912
16,Duane,Mitchell,57,Vinka Center,Wuwevoc,MA,13265,$9326.04,YELLOW,05/29/1926
17,Blake,Cruz,44,Epjiw Pass,Fuhucnu,AZ,00287,$229.31,RED,06/06/1941
18,Kyle,Simpson,18,Viuz Ridge,Nuwnafij,NY,58072,$968.75,GREEN,08/15/1951
19,Cornelia,Welch,26,Ujuen Glen,Ceigbo,CA,42568,$1701.59,BLUE,01/03/2064
20,Willie,Edwards,42,Ehali Grove,Jategku,NH,08557,$2107.05,RED,04/10/1929
21,Iva,Hayes,22,Loata Pass,Guasevog,MI,37534,$8532.24,RED,02/14/2066
22,Millie,Soto,19,Nokef Key,Domtewoh,AR,50649,$8747.41,RED,01/10/2032
23,Gregory,Curtis,64,Ivib Key,Dokwashap,MI,45921,$154.79,GREEN,07/31/1992
24,Mae,Romero,43,Ovujon Highway,Fowvivmez,ND,21187,$1000.68,WHITE,08/15/2006
25,Johanna,Campbell,50,Maicu Way,Gulemfa,NV,33692,$6890.57,BLUE,12/16/1939
26,Delia,Jefferson,27,Vobas Highway,Judvodsa,OK,02809,$3637.60,WHITE,04/18/2013
27,Craig,Wilkins,24,Seawi Place,Dorfurah,MN,18505,$7960.72,RED,01/07/2047
28,Cecelia,Day,61,Ulubu Boulevard,Tezguhboc,KS,81247,$1368.81,BLUE,11/06/2030
29,Jason,Armstrong,36,Arege Court,Duccite,GA,53251,$4377.19,YELLOW,11/09/1942
30,Leon,Hines,35,Vawdo Key,Dehjamge,MT,77642,$1698.09,WHITE,05/31/2016
31,Carrie,Aguilar,55,Emen Boulevard,Cikijata,VA,70213,$5566.67,GREEN,06/23/1987
32,Dean,White,56,Falin Highway,Ziveon,OK,94045,$5341.85,BLUE,04/25/2052
33,Nell,Becker,62,Gatlo View,Atesosuge,SC,33334,$8114.18,YELLOW,10/30/1968
34,Bradley,Thomas,50,Zoik Parkway,Rewadpig,SC,48972,$1825.89,GREEN,03/19/2060
35,Elnora,Sherman,21,Turi Boulevard,Hotolfa,KS,41150,$5752.88,RED,07/04/1929
36,Bettie,Morales,48,Haag View,Cokuri,ND,99201,$3826.37,GREEN,03/21/2044
37,Caroline,Figueroa,60,Gogriv Key,Vifahu,AK,33436,$4771.05,GREEN,06/12/2051
38,Lucille,Hopkins,43,Cisiza Boulevard,Jogjise,NJ,48009,$6370.46,YELLOW,03/24/2051
39,Christina,Elliott,53,Evwad River,Dehpiona,TN,26886,$9013.75,BLUE,10/20/1902
40,Steve,Henry,57,Koibu Lane,Iwcimzom,WI,74297,$6448.32,GREEN,02/15/2049
41,Georgie,Wilkins,18,Vaju Pass,Ewetube,ND,81583,$5511.71,GREEN,09/09/1941
42,Wayne,Young,34,Jikve Lane,Lagmasa,TX,12919,$5290.92,RED,02/17/1918
43,Bill,Herrera,29,Leeju Loop,Kakdipoj,TX,35050,$5738.66,YELLOW,04/27/2032
44,Mamie,Shaw,60,Kiome Pass,Huhadub,OH,29039,$902.14,GREEN,04/18/1924
45,Harry,Stokes,35,Lesupa Park,Vejtito,VT,29593,$4663.87,GREEN,05/01/1954
46,Beulah,Rios,57,Bopjik Heights,Cinzipve,DC,46877,$4524.65,GREEN,12/31/2033
47,Viola,Steele,37,Jokse Plaza,Ugewizi,ME,44136,$2448.91,RED,06/15/1990
48,Rhoda,Gutierrez,33,Lolal Drive,Kirizvic,NH,24634,$4942.72,WHITE,08/26/1963
49,Barry,Bryant,45,Wuswoj Pass,Suwradalo,OR,10849,$283.94,RED,05/26/1956
50,Eunice,Lopez,47,Ehir Court,Uparolsa,AR,17227,$6457.10,RED,06/02/2034
51,Wayne,Sims,36,Imif Boulevard,Tahherup,NM,44896,$9871.37,RED,11/11/1950
52,Bobby,Green,50,Ruife Trail,Dorhippis,WY,82596,$360.20,WHITE,10/31/1952
53,Cole,Washington,62,Timoc Drive,Dehdoge,IL,73523,$3907.55,GREEN,09/12/1910
54,Jesus,Harris,23,Suwgo Key,Bactavbal,RI,50856,$1940.31,YELLOW,09/29/1968
55,Anne,Gray,41,Ziodu Loop,Godano,KS,67436,$7386.39,BLUE,02/16/1918
56,Irene,Griffith,58,Zisjan Trail,Egidomo,MT,51551,$2536.01,GREEN,02/16/1928
57,Eliza,Owen,55,Zucbuk Pike,Nuenalan,AL,17379,$978.96,GREEN,11/16/2013
58,Henry,Adkins,46,Favsod Terrace,Zemijzo,SD,34860,$7371.17,YELLOW,10/04/1948
59,Roy,Austin,56,Ruwek Park,Zowzijo,FL,87628,$4651.16,WHITE,09/21/1982
60,Georgia,Martin,31,Jefu Path,Mocmijfit,TX,67382,$3545.25,BLUE,01/24/1901
61,Ronald,Dean,43,Amepol Highway,Izawafo,AR,10868,$5886.98,YELLOW,08/22/1998
62,Cora,Watts,26,Dusef Trail,Watweato,IL,03813,$1753.03,YELLOW,03/21/1925
63,Bertha,Rowe,22,Domgec Road,Licuwga,MD,33318,$4252.32,BLUE,12/14/2047
64,Eunice,Olson,38,Raczok Pass,Fufgukeki,MT,44147,$9872.72,GREEN,10/25/1989
